"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Veterinary Science","2023-12",2338.29,2023-12-01
"Veterinary Science","2024-01",5800.7,2024-01-01
"Veterinary Science","2024-02",33967.79,2024-02-01
"Veterinary Science","2024-03",3492.44,2024-03-01
"Veterinary Science","2024-04",2805.32,2024-04-01
"Veterinary Science","2024-05",5236.37,2024-05-01
"Veterinary Science","2024-06",12117.71,2024-06-01
"Veterinary Science","2024-07",21047.83,2024-07-01
"Veterinary Science","2024-08",14975.36,2024-08-01
"Veterinary Science","2024-09",10955.58,2024-09-01
"Veterinary Science","2024-10",10200.24,2024-10-01
"Veterinary Science","2024-11",6473.24,2024-11-01
"Veterinary Science","2024-12",11785.79,2024-12-01
"Veterinary Science","2025-01",10082.18,2025-01-01
"Veterinary Science","2025-02",10609.29,2025-02-01
"Veterinary Science","2025-03",11798.65,2025-03-01
"Veterinary Science","2025-04",16104.64,2025-04-01
"Veterinary Science","2025-05",13123.84,2025-05-01
"Veterinary Science","2025-06",54.94,2025-06-01
"WORTH","2023-07",61.67,2023-07-01
"WORTH","2023-08",61.67,2023-08-01
"WORTH","2023-09",655.51,2023-09-01
"WORTH","2023-10",457.56,2023-10-01
"WORTH","2023-11",5444.5,2023-11-01
"WORTH","2023-12",1208.17,2023-12-01
"WORTH","2024-01",2076.21,2024-01-01
"WORTH","2024-02",1780.18,2024-02-01
"WORTH","2024-03",387.13,2024-03-01
"WORTH","2024-04",387.13,2024-04-01
"WORTH","2024-05",22615.09,2024-05-01
"WORTH","2024-06",5600,2024-06-01
"WORTH","2024-07",0,2024-07-01
"WWAMI Medical Education Program","2021-07",803.93,2021-07-01
"WWAMI Medical Education Program","2021-08",1882.96,2021-08-01
"WWAMI Medical Education Program","2021-09",2455.2,2021-09-01
"WWAMI Medical Education Program","2021-10",1034.89,2021-10-01
"WWAMI Medical Education Program","2021-11",984.01,2021-11-01
"WWAMI Medical Education Program","2021-12",2450.82,2021-12-01
"WWAMI Medical Education Program","2022-01",1404.65,2022-01-01
"WWAMI Medical Education Program","2022-02",1334.39,2022-02-01
"WWAMI Medical Education Program","2022-03",1367.92,2022-03-01
"WWAMI Medical Education Program","2022-04",1824.06,2022-04-01
"WWAMI Medical Education Program","2022-05",3172.09,2022-05-01
"WWAMI Medical Education Program","2022-06",2494.4,2022-06-01
"WWAMI Medical Education Program","2022-07",1666.93,2022-07-01
"WWAMI Medical Education Program","2022-08",1560.03,2022-08-01
"WWAMI Medical Education Program","2022-09",1567.07,2022-09-01
"WWAMI Medical Education Program","2022-10",736.16,2022-10-01
"WWAMI Medical Education Program","2022-11",1006.77,2022-11-01
"WWAMI Medical Education Program","2022-12",697.12,2022-12-01
"WWAMI Medical Education Program","2023-01",541.8,2023-01-01
"WWAMI Medical Education Program","2023-02",534.19,2023-02-01
"WWAMI Medical Education Program","2023-03",508.55,2023-03-01
"WWAMI Medical Education Program","2023-04",113.6,2023-04-01
"WWAMI Medical Education Program","2023-05",41.92,2023-05-01
"WWAMI Medical Education Program","2023-06",55.65,2023-06-01
"WWAMI Medical Education Program","2023-07",50.33,2023-07-01
"WWAMI Medical Education Program","2023-08",18.99,2023-08-01
"WWAMI Medical Education Program","2023-09",39.45,2023-09-01
"WWAMI Medical Education Program","2023-10",23.7,2023-10-01
"WWAMI Medical Education Program","2023-11",14.05,2023-11-01
"WWAMI Medical Education Program","2023-12",10.49,2023-12-01
"WWAMI Medical Education Program","2024-01",12.03,2024-01-01
"Wyo Natural Diversity Database","2021-07",15700.65,2021-07-01
"Wyo Natural Diversity Database","2021-08",14534.13,2021-08-01
"Wyo Natural Diversity Database","2021-09",15883.95,2021-09-01
"Wyo Natural Diversity Database","2021-10",8447.51,2021-10-01
"Wyo Natural Diversity Database","2021-11",8414.15,2021-11-01
"Wyo Natural Diversity Database","2021-12",13028.49,2021-12-01
"Wyo Natural Diversity Database","2022-01",5168.73,2022-01-01
"Wyo Natural Diversity Database","2022-02",6007.52,2022-02-01
"Wyo Natural Diversity Database","2022-03",6849.12,2022-03-01
"Wyo Natural Diversity Database","2022-04",11330.18,2022-04-01
"Wyo Natural Diversity Database","2022-05",10727.24,2022-05-01
"Wyo Natural Diversity Database","2022-06",9681.93,2022-06-01
"Wyo Natural Diversity Database","2022-07",15368.81,2022-07-01
"Wyo Natural Diversity Database","2022-08",16260.9,2022-08-01
"Wyo Natural Diversity Database","2022-09",11571.98,2022-09-01
"Wyo Natural Diversity Database","2022-10",8613.36,2022-10-01
"Wyo Natural Diversity Database","2022-11",10142.05,2022-11-01
"Wyo Natural Diversity Database","2022-12",6716.9,2022-12-01
"Wyo Natural Diversity Database","2023-01",7462.86,2023-01-01
"Wyo Natural Diversity Database","2023-02",12201.08,2023-02-01
"Wyo Natural Diversity Database","2023-03",9936.99,2023-03-01
"Wyo Natural Diversity Database","2023-04",13734.35,2023-04-01
"Wyo Natural Diversity Database","2023-05",20066.67,2023-05-01
"Wyo Natural Diversity Database","2023-06",22455.18,2023-06-01
"Wyo Natural Diversity Database","2023-07",23817.93,2023-07-01
"Wyo Natural Diversity Database","2023-08",26552,2023-08-01
"Wyo Natural Diversity Database","2023-09",18594.09,2023-09-01
"Wyo Natural Diversity Database","2023-10",16843.02,2023-10-01
"Wyo Natural Diversity Database","2023-11",12488.92,2023-11-01
"Wyo Natural Diversity Database","2023-12",9994.69,2023-12-01
"Wyo Natural Diversity Database","2024-01",12878.28,2024-01-01
"Wyo Natural Diversity Database","2024-02",11901.26,2024-02-01
"Wyo Natural Diversity Database","2024-03",11520.81,2024-03-01
"Wyo Natural Diversity Database","2024-04",16386.2,2024-04-01
"Wyo Natural Diversity Database","2024-05",21992.44,2024-05-01
"Wyo Natural Diversity Database","2024-06",33590.27,2024-06-01
"Wyo Natural Diversity Database","2024-07",32253.38,2024-07-01
"Wyo Natural Diversity Database","2024-08",33100.29,2024-08-01
"Wyo Natural Diversity Database","2024-09",25980.38,2024-09-01
"Wyo Natural Diversity Database","2024-10",15452.52,2024-10-01
"Wyo Natural Diversity Database","2024-11",13627.73,2024-11-01
"Wyo Natural Diversity Database","2024-12",12938.92,2024-12-01
"Wyo Natural Diversity Database","2025-01",16654.69,2025-01-01
"Wyo Natural Diversity Database","2025-02",16106.14,2025-02-01
"Wyo Natural Diversity Database","2025-03",15461.68,2025-03-01
"Wyo Natural Diversity Database","2025-04",16732.97,2025-04-01
"Wyo Natural Diversity Database","2025-05",17306.28,2025-05-01
"Wyo Natural Diversity Database","2025-06",450.51,2025-06-01
"Wyoming Coop Unit","2021-07",10753.08,2021-07-01
"Wyoming Coop Unit","2021-08",10096.28,2021-08-01
"Wyoming Coop Unit","2021-09",10640.46,2021-09-01
"Wyoming Coop Unit","2021-10",10513.52,2021-10-01
"Wyoming Coop Unit","2021-11",26249.78,2021-11-01
"Wyoming Coop Unit","2021-12",15110.55,2021-12-01
"Wyoming Coop Unit","2022-01",12319.65,2022-01-01
"Wyoming Coop Unit","2022-02",28431.37,2022-02-01
"Wyoming Coop Unit","2022-03",21247.59,2022-03-01
"Wyoming Coop Unit","2022-04",12378.48,2022-04-01
"Wyoming Coop Unit","2022-05",11912.04,2022-05-01
"Wyoming Coop Unit","2022-06",14371.97,2022-06-01
"Wyoming Coop Unit","2022-07",20967.91,2022-07-01
"Wyoming Coop Unit","2022-08",17106.98,2022-08-01
"Wyoming Coop Unit","2022-09",15809.19,2022-09-01
"Wyoming Coop Unit","2022-10",13586.35,2022-10-01
"Wyoming Coop Unit","2022-11",15703.15,2022-11-01
"Wyoming Coop Unit","2022-12",20697.92,2022-12-01
"Wyoming Coop Unit","2023-01",12378.9,2023-01-01
"Wyoming Coop Unit","2023-02",12766.77,2023-02-01
"Wyoming Coop Unit","2023-03",16384.19,2023-03-01
"Wyoming Coop Unit","2023-04",21023.27,2023-04-01
"Wyoming Coop Unit","2023-05",12146.79,2023-05-01
"Wyoming Coop Unit","2023-06",13563.27,2023-06-01
"Wyoming Coop Unit","2023-07",22134.97,2023-07-01
"Wyoming Coop Unit","2023-08",20761.46,2023-08-01
"Wyoming Coop Unit","2023-09",15701.04,2023-09-01
"Wyoming Coop Unit","2023-10",12382.24,2023-10-01
"Wyoming Coop Unit","2023-11",11698.81,2023-11-01
"Wyoming Coop Unit","2023-12",25713.62,2023-12-01
"Wyoming Coop Unit","2024-01",21982.78,2024-01-01
"Wyoming Coop Unit","2024-02",15049.1,2024-02-01
"Wyoming Coop Unit","2024-03",26219.66,2024-03-01
"Wyoming Coop Unit","2024-04",16229.52,2024-04-01
"Wyoming Coop Unit","2024-05",15012.04,2024-05-01
"Wyoming Coop Unit","2024-06",15784.62,2024-06-01
"Wyoming Coop Unit","2024-07",19055.19,2024-07-01
"Wyoming Coop Unit","2024-08",13784.36,2024-08-01
"Wyoming Coop Unit","2024-09",18801.4,2024-09-01
"Wyoming Coop Unit","2024-10",18388.26,2024-10-01
"Wyoming Coop Unit","2024-11",14991.05,2024-11-01
"Wyoming Coop Unit","2024-12",20759.54,2024-12-01
"Wyoming Coop Unit","2025-01",37123.77,2025-01-01
"Wyoming Coop Unit","2025-02",14896.97,2025-02-01
"Wyoming Coop Unit","2025-03",20000.65,2025-03-01
"Wyoming Coop Unit","2025-04",23263,2025-04-01
"Wyoming Coop Unit","2025-05",20150.12,2025-05-01
"Wyoming Coop Unit","2025-06",84.75,2025-06-01
"Wyoming Geographic Information Science Center","2021-07",9415.61,2021-07-01
"Wyoming Geographic Information Science Center","2021-08",6960.36,2021-08-01
"Wyoming Geographic Information Science Center","2021-09",9922.04,2021-09-01
"Wyoming Geographic Information Science Center","2021-10",10908.47,2021-10-01
"Wyoming Geographic Information Science Center","2021-11",10641,2021-11-01
"Wyoming Geographic Information Science Center","2021-12",13712.95,2021-12-01
"Wyoming Geographic Information Science Center","2022-01",8764.28,2022-01-01
"Wyoming Geographic Information Science Center","2022-02",7998.7,2022-02-01
"Wyoming Geographic Information Science Center","2022-03",8228.87,2022-03-01
"Wyoming Geographic Information Science Center","2022-04",9604.75,2022-04-01
"Wyoming Geographic Information Science Center","2022-05",8943.68,2022-05-01
"Wyoming Geographic Information Science Center","2022-06",11798.01,2022-06-01
"Wyoming Geographic Information Science Center","2022-07",12463.04,2022-07-01
"Wyoming Geographic Information Science Center","2022-08",4808.42,2022-08-01
"Wyoming Geographic Information Science Center","2022-09",4920.65,2022-09-01
"Wyoming Geographic Information Science Center","2022-10",4430.41,2022-10-01
"Wyoming Geographic Information Science Center","2022-11",2308.6,2022-11-01
"Wyoming Geographic Information Science Center","2022-12",4239.35,2022-12-01
"Wyoming Geographic Information Science Center","2023-01",3176.68,2023-01-01
"Wyoming Geographic Information Science Center","2023-02",4456.54,2023-02-01
"Wyoming Geographic Information Science Center","2023-03",3390.98,2023-03-01
"Wyoming Geographic Information Science Center","2023-04",3426.95,2023-04-01
"Wyoming Geographic Information Science Center","2023-05",3723.33,2023-05-01
"Wyoming Geographic Information Science Center","2023-06",4388.99,2023-06-01
"Wyoming Geographic Information Science Center","2023-07",3554.59,2023-07-01
"Wyoming Geographic Information Science Center","2023-08",6682.66,2023-08-01
"Wyoming Geographic Information Science Center","2023-09",6134.09,2023-09-01
"Wyoming Geographic Information Science Center","2023-10",4194.05,2023-10-01
"Wyoming Geographic Information Science Center","2023-11",4720.62,2023-11-01
"Wyoming Geographic Information Science Center","2023-12",4447.63,2023-12-01
"Wyoming Geographic Information Science Center","2024-01",4630.38,2024-01-01
"Wyoming Geographic Information Science Center","2024-02",3131.11,2024-02-01
"Wyoming Geographic Information Science Center","2024-03",3035.23,2024-03-01
"Wyoming Geographic Information Science Center","2024-04",5070.2,2024-04-01
"Wyoming Geographic Information Science Center","2024-05",6347.08,2024-05-01
"Wyoming Geographic Information Science Center","2024-06",7587.4,2024-06-01
"Wyoming Geographic Information Science Center","2024-07",4305.55,2024-07-01
"Wyoming Geographic Information Science Center","2024-08",3331.58,2024-08-01
"Wyoming Geographic Information Science Center","2024-09",2482.93,2024-09-01
"Wyoming Geographic Information Science Center","2024-10",2177.94,2024-10-01
"Wyoming Geographic Information Science Center","2024-11",1322.55,2024-11-01
"Wyoming Geographic Information Science Center","2024-12",1320.21,2024-12-01
"Wyoming Geographic Information Science Center","2025-01",2511.62,2025-01-01
"Wyoming Geographic Information Science Center","2025-02",1804.49,2025-02-01
"Wyoming Geographic Information Science Center","2025-03",2264.2,2025-03-01
"Wyoming Geographic Information Science Center","2025-04",3492.99,2025-04-01
"Wyoming Geographic Information Science Center","2025-05",5703.61,2025-05-01
"Wyoming Institute for Disabilities WIND","2021-07",24897.06,2021-07-01
"Wyoming Institute for Disabilities WIND","2021-08",19251.36,2021-08-01
"Wyoming Institute for Disabilities WIND","2021-09",46315.92,2021-09-01
"Wyoming Institute for Disabilities WIND","2021-10",20074.63,2021-10-01
"Wyoming Institute for Disabilities WIND","2021-11",19308.48,2021-11-01
"Wyoming Institute for Disabilities WIND","2021-12",19588.46,2021-12-01
"Wyoming Institute for Disabilities WIND","2022-01",18882.17,2022-01-01
"Wyoming Institute for Disabilities WIND","2022-02",27201.7,2022-02-01
"Wyoming Institute for Disabilities WIND","2022-03",24252.02,2022-03-01
"Wyoming Institute for Disabilities WIND","2022-04",25902.38,2022-04-01
"Wyoming Institute for Disabilities WIND","2022-05",22441.8,2022-05-01
"Wyoming Institute for Disabilities WIND","2022-06",22130.73,2022-06-01
"Wyoming Institute for Disabilities WIND","2022-07",21775.31,2022-07-01
"Wyoming Institute for Disabilities WIND","2022-08",23130.62,2022-08-01
"Wyoming Institute for Disabilities WIND","2022-09",35718.99,2022-09-01
"Wyoming Institute for Disabilities WIND","2022-10",22254.16,2022-10-01
"Wyoming Institute for Disabilities WIND","2022-11",28406.81,2022-11-01
"Wyoming Institute for Disabilities WIND","2022-12",19191.87,2022-12-01
"Wyoming Institute for Disabilities WIND","2023-01",20606.56,2023-01-01
"Wyoming Institute for Disabilities WIND","2023-02",19790.6,2023-02-01
"Wyoming Institute for Disabilities WIND","2023-03",21737.35,2023-03-01
"Wyoming Institute for Disabilities WIND","2023-04",22670.13,2023-04-01
"Wyoming Institute for Disabilities WIND","2023-05",23596.46,2023-05-01
"Wyoming Institute for Disabilities WIND","2023-06",29232.64,2023-06-01
"Wyoming Institute for Disabilities WIND","2023-07",28879.45,2023-07-01
"Wyoming Institute for Disabilities WIND","2023-08",22006.62,2023-08-01
"Wyoming Institute for Disabilities WIND","2023-09",25789.03,2023-09-01
"Wyoming Institute for Disabilities WIND","2023-10",17838.86,2023-10-01
"Wyoming Institute for Disabilities WIND","2023-11",19308.71,2023-11-01
"Wyoming Institute for Disabilities WIND","2023-12",19880.9,2023-12-01
"Wyoming Institute for Disabilities WIND","2024-01",17337.33,2024-01-01
"Wyoming Institute for Disabilities WIND","2024-02",17824.24,2024-02-01
"Wyoming Institute for Disabilities WIND","2024-03",18691.99,2024-03-01
"Wyoming Institute for Disabilities WIND","2024-04",17381.14,2024-04-01
"Wyoming Institute for Disabilities WIND","2024-05",28705,2024-05-01
"Wyoming Institute for Disabilities WIND","2024-06",20211.2,2024-06-01
"Wyoming Institute for Disabilities WIND","2024-07",20563.16,2024-07-01
"Wyoming Institute for Disabilities WIND","2024-08",19150.97,2024-08-01
"Wyoming Institute for Disabilities WIND","2024-09",20397.01,2024-09-01
"Wyoming Institute for Disabilities WIND","2024-10",19323.35,2024-10-01
"Wyoming Institute for Disabilities WIND","2024-11",22821.25,2024-11-01
"Wyoming Institute for Disabilities WIND","2024-12",21846.37,2024-12-01
"Wyoming Institute for Disabilities WIND","2025-01",24286.14,2025-01-01
"Wyoming Institute for Disabilities WIND","2025-02",29978.45,2025-02-01
"Wyoming Institute for Disabilities WIND","2025-03",27577.55,2025-03-01
"Wyoming Institute for Disabilities WIND","2025-04",24457.93,2025-04-01
"Wyoming Institute for Disabilities WIND","2025-05",25564.62,2025-05-01
"Wyoming Institute for Disabilities WIND","2025-06",12.92,2025-06-01
"Wyoming Public Media","2022-10",51.49,2022-10-01
"Wyoming Public Media","2022-12",-0.41,2022-12-01
"Wyoming Public Media","2023-12",495.75,2023-12-01
"Wyoming Public Media","2024-01",663.66,2024-01-01
"Wyoming Public Media","2024-02",663.66,2024-02-01
"Wyoming Public Media","2024-03",663.66,2024-03-01
"Wyoming Public Media","2024-04",663.66,2024-04-01
"Wyoming Public Media","2024-07",339.42,2024-07-01
"Wyoming Public Media","2024-08",339.42,2024-08-01
"Wyoming Public Media","2024-09",321.21,2024-09-01
"Wyoming Public Media","2024-10",284.8,2024-10-01
"Wyoming Public Media","2024-11",321.21,2024-11-01
"Wyoming Public Media","2024-12",321.21,2024-12-01
"Wyoming Public Media","2025-01",321.21,2025-01-01
"Wyoming Public Media","2025-02",299.37,2025-02-01
"Wyoming Public Media","2025-03",299.37,2025-03-01
"Wyoming Public Media","2025-04",299.37,2025-04-01
"Wyoming Public Media","2025-05",299.37,2025-05-01
"Wyoming State Veterinary Laboratory","2021-07",3401.82,2021-07-01
"Wyoming State Veterinary Laboratory","2021-08",6462.01,2021-08-01
"Wyoming State Veterinary Laboratory","2021-09",587.48,2021-09-01
"Wyoming State Veterinary Laboratory","2021-10",587.48,2021-10-01
"Wyoming State Veterinary Laboratory","2021-11",664.98,2021-11-01
"Wyoming State Veterinary Laboratory","2021-12",589.98,2021-12-01
"Wyoming State Veterinary Laboratory","2022-01",589.98,2022-01-01
"Wyoming State Veterinary Laboratory","2022-02",589.98,2022-02-01
"Wyoming State Veterinary Laboratory","2022-03",589.98,2022-03-01
"Wyoming State Veterinary Laboratory","2022-04",1264.53,2022-04-01
"Wyoming State Veterinary Laboratory","2022-05",2453.07,2022-05-01
"Wyoming State Veterinary Laboratory","2022-06",7130.26,2022-06-01
"Wyoming State Veterinary Laboratory","2022-07",2298.65,2022-07-01
"Wyoming State Veterinary Laboratory","2022-08",1385.86,2022-08-01
"Wyoming State Veterinary Laboratory","2022-09",655.85,2022-09-01
"Wyoming State Veterinary Laboratory","2022-10",655.85,2022-10-01
"Wyoming State Veterinary Laboratory","2022-11",1112.35,2022-11-01
"Wyoming State Veterinary Laboratory","2022-12",1325.38,2022-12-01
"Wyoming State Veterinary Laboratory","2023-01",1325.38,2023-01-01
"Wyoming State Veterinary Laboratory","2023-02",1325.38,2023-02-01
"Wyoming State Veterinary Laboratory","2023-03",1329.88,2023-03-01
"Wyoming State Veterinary Laboratory","2023-04",1325.38,2023-04-01
"Wyoming State Veterinary Laboratory","2023-05",1606.06,2023-05-01
"Wyoming State Veterinary Laboratory","2023-06",1376.68,2023-06-01
"Wyoming State Veterinary Laboratory","2023-07",1409.1,2023-07-01
"Wyoming State Veterinary Laboratory","2023-08",1581.26,2023-08-01
"Wyoming State Veterinary Laboratory","2023-09",738.08,2023-09-01
"Wyoming State Veterinary Laboratory","2023-10",714.06,2023-10-01
"Wyoming State Veterinary Laboratory","2023-11",968.09,2023-11-01
"Wyoming State Veterinary Laboratory","2023-12",369.13,2023-12-01
"Wyoming State Veterinary Laboratory","2024-01",373.31,2024-01-01
"Wyoming State Veterinary Laboratory","2024-02",127.66,2024-02-01
"Wyoming State Veterinary Laboratory","2024-03",286.87,2024-03-01
"Wyoming State Veterinary Laboratory","2024-04",1548,2024-04-01
"Wyoming State Veterinary Laboratory","2024-05",6681.39,2024-05-01
"Wyoming State Veterinary Laboratory","2024-07",599.92,2024-07-01
"Wyoming State Veterinary Laboratory","2024-08",0.33,2024-08-01
"Wyoming State Veterinary Laboratory","2024-09",128.09,2024-09-01
"Wyoming State Veterinary Laboratory","2024-10",3567.29,2024-10-01
"Wyoming State Veterinary Laboratory","2024-11",1240.51,2024-11-01
"Wyoming State Veterinary Laboratory","2024-12",15261.25,2024-12-01
"Wyoming State Veterinary Laboratory","2025-01",2042.25,2025-01-01
"Wyoming State Veterinary Laboratory","2025-02",1601.87,2025-02-01
"Wyoming State Veterinary Laboratory","2025-03",22338.75,2025-03-01
"Wyoming State Veterinary Laboratory","2025-04",21020.8,2025-04-01
"Wyoming State Veterinary Laboratory","2025-05",6271.26,2025-05-01
"Wyoming Survey & Analysis Center","2021-07",57566.76,2021-07-01
"Wyoming Survey & Analysis Center","2021-08",146288.36,2021-08-01
"Wyoming Survey & Analysis Center","2021-09",60579.06,2021-09-01
"Wyoming Survey & Analysis Center","2021-10",51454.36,2021-10-01
"Wyoming Survey & Analysis Center","2021-11",124854.51,2021-11-01
"Wyoming Survey & Analysis Center","2021-12",51921.1,2021-12-01
"Wyoming Survey & Analysis Center","2022-01",58649.29,2022-01-01
"Wyoming Survey & Analysis Center","2022-02",55221.6,2022-02-01
"Wyoming Survey & Analysis Center","2022-03",62310.79,2022-03-01
"Wyoming Survey & Analysis Center","2022-04",57138.21,2022-04-01
"Wyoming Survey & Analysis Center","2022-05",80188.9,2022-05-01
"Wyoming Survey & Analysis Center","2022-06",99416.69,2022-06-01
"Wyoming Survey & Analysis Center","2022-07",58363,2022-07-01
"Wyoming Survey & Analysis Center","2022-08",50017.89,2022-08-01
"Wyoming Survey & Analysis Center","2022-09",56516.26,2022-09-01
"Wyoming Survey & Analysis Center","2022-10",59593.75,2022-10-01
"Wyoming Survey & Analysis Center","2022-11",72925.18,2022-11-01
"Wyoming Survey & Analysis Center","2022-12",48505.37,2022-12-01
"Wyoming Survey & Analysis Center","2023-01",59287.34,2023-01-01
"Wyoming Survey & Analysis Center","2023-02",55755.35,2023-02-01
"Wyoming Survey & Analysis Center","2023-03",51617.2,2023-03-01
"Wyoming Survey & Analysis Center","2023-04",61421.23,2023-04-01
"Wyoming Survey & Analysis Center","2023-05",49834.41,2023-05-01
"Wyoming Survey & Analysis Center","2023-06",137879.44,2023-06-01
"Wyoming Survey & Analysis Center","2023-07",44752.23,2023-07-01
"Wyoming Survey & Analysis Center","2023-08",50787.43,2023-08-01
"Wyoming Survey & Analysis Center","2023-09",63210.9,2023-09-01
"Wyoming Survey & Analysis Center","2023-10",154989.02,2023-10-01
"Wyoming Survey & Analysis Center","2023-11",59715.25,2023-11-01
"Wyoming Survey & Analysis Center","2023-12",55919.16,2023-12-01
"Wyoming Survey & Analysis Center","2024-01",57092.99,2024-01-01
"Wyoming Survey & Analysis Center","2024-02",53291.67,2024-02-01
"Wyoming Survey & Analysis Center","2024-03",52167.67,2024-03-01
"Wyoming Survey & Analysis Center","2024-04",55643.51,2024-04-01
"Wyoming Survey & Analysis Center","2024-05",51073.04,2024-05-01
"Wyoming Survey & Analysis Center","2024-06",63828.91,2024-06-01
"Wyoming Survey & Analysis Center","2024-07",55312.87,2024-07-01
"Wyoming Survey & Analysis Center","2024-08",59861.17,2024-08-01
"Wyoming Survey & Analysis Center","2024-09",59415.82,2024-09-01
"Wyoming Survey & Analysis Center","2024-10",73715.59,2024-10-01
"Wyoming Survey & Analysis Center","2024-11",60648.34,2024-11-01
"Wyoming Survey & Analysis Center","2024-12",61336.73,2024-12-01
"Wyoming Survey & Analysis Center","2025-01",51320.8,2025-01-01
"Wyoming Survey & Analysis Center","2025-02",56495.78,2025-02-01
"Wyoming Survey & Analysis Center","2025-03",59454.74,2025-03-01
"Wyoming Survey & Analysis Center","2025-04",62834.13,2025-04-01
"Wyoming Survey & Analysis Center","2025-05",57033.99,2025-05-01
"Wyoming Survey & Analysis Center","2025-06",287.75,2025-06-01
"Zoology & Physiology","2021-07",158206.74,2021-07-01
"Zoology & Physiology","2021-08",84225.03,2021-08-01
"Zoology & Physiology","2021-09",80236.63,2021-09-01
"Zoology & Physiology","2021-10",71584.62,2021-10-01
"Zoology & Physiology","2021-11",63018.22,2021-11-01
"Zoology & Physiology","2021-12",68136.33,2021-12-01
"Zoology & Physiology","2022-01",63145.41,2022-01-01
"Zoology & Physiology","2022-02",81898.75,2022-02-01
"Zoology & Physiology","2022-03",82503.15,2022-03-01
"Zoology & Physiology","2022-04",71869.54,2022-04-01
"Zoology & Physiology","2022-05",122815.21,2022-05-01
"Zoology & Physiology","2022-06",212188.04,2022-06-01
"Zoology & Physiology","2022-07",196928.81,2022-07-01
"Zoology & Physiology","2022-08",111575.32,2022-08-01
"Zoology & Physiology","2022-09",79578.51,2022-09-01
"Zoology & Physiology","2022-10",101868.23,2022-10-01
"Zoology & Physiology","2022-11",69096.84,2022-11-01
"Zoology & Physiology","2022-12",63480.98,2022-12-01
"Zoology & Physiology","2023-01",61483.55,2023-01-01
"Zoology & Physiology","2023-02",62023.44,2023-02-01
"Zoology & Physiology","2023-03",84476.03,2023-03-01
"Zoology & Physiology","2023-04",104207.63,2023-04-01
"Zoology & Physiology","2023-05",96902.73,2023-05-01
"Zoology & Physiology","2023-06",174784.32,2023-06-01
"Zoology & Physiology","2023-07",129523.83,2023-07-01
"Zoology & Physiology","2023-08",101134.41,2023-08-01
"Zoology & Physiology","2023-09",122911.59,2023-09-01
"Zoology & Physiology","2023-10",115060.29,2023-10-01
"Zoology & Physiology","2023-11",98740,2023-11-01
"Zoology & Physiology","2023-12",125201.4,2023-12-01
"Zoology & Physiology","2024-01",80353.35,2024-01-01
"Zoology & Physiology","2024-02",89913.41,2024-02-01
"Zoology & Physiology","2024-03",170088.74,2024-03-01
"Zoology & Physiology","2024-04",102067.14,2024-04-01
"Zoology & Physiology","2024-05",178525.7,2024-05-01
"Zoology & Physiology","2024-06",234696.79,2024-06-01
"Zoology & Physiology","2024-07",242241.52,2024-07-01
"Zoology & Physiology","2024-08",105955.04,2024-08-01
"Zoology & Physiology","2024-09",97763.21,2024-09-01
"Zoology & Physiology","2024-10",86414.43,2024-10-01
"Zoology & Physiology","2024-11",100695.34,2024-11-01
"Zoology & Physiology","2024-12",95809.66,2024-12-01
"Zoology & Physiology","2025-01",69115.98,2025-01-01
"Zoology & Physiology","2025-02",63114.56,2025-02-01
"Zoology & Physiology","2025-03",80649.9,2025-03-01
"Zoology & Physiology","2025-04",57516.7,2025-04-01
"Zoology & Physiology","2025-05",89203.83,2025-05-01
"Zoology & Physiology","2025-06",2652.9,2025-06-01
