"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"231900A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,760,"Fall",360999,181
"231903A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,364,"Summer",255203,4
"231904A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,914,"Summer",20817,83
"231909A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,1644,"Summer",5000,9
"231910A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,914,"Summer",20000,427
"231910A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,913,"Summer",10000,183
"231911A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,914,"Summer",10000,30
"231914A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,6,914,"Summer",17882,286
"231915A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,1644,"Summer",5000,170
"231916A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,1644,"Summer",40000,42
"231917A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,7,914,"Summer",45000,30
"231919A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",11,8,1826,"Fall",4e+05,122
"231919A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,6,1826,"Fall",0,488
"231919A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,5,1826,"Fall",24429,304
"231919A0001CS2","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,5,1826,"Fall",72798.42,304
"231919A0001CS5","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,5,1826,"Fall",56560.32,577
"231919A0001CS6","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",1,4,1460,"Fall",14370,211
"231924A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,4,1374,"Fall",2100000,5
"231932A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,5,913,"Summer",10200,42
"231944A0001","Industry","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,3,633,"Fall",77507,6
"231945A00026","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,2,364,"Summer",847497,0
"231951A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",4,3,731,"Summer",400390.09,40
"231963A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,5,730,"Fall",224316,8
"240002A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,7,758,"Spring",80000,233
"240003A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Instruction - Sponsored",6,11,1460,"Spring",599999.98,414
"240004A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,946,"Spring",1392206,65
"240006A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,5,1825,"Spring",385828,14
"240007A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,3,364,"Summer",51840,91
"240008A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,546,"Fall",127397.23,6
"240008A0001A","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,364,"Fall",122488,13
"240009A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,6,914,"Summer",440000,86
"240009A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,6,913,"Summer",440000,35
"240014A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,8,761,"Summer",149900,72
"240015A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,7,1826,"Fall",644848.08,0
"240016A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,7,364,"Fall",489098.44,7
"240018A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",10,4,629,"Spring",130000,21
"240021A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,4,1826,"Fall",75000,0
